6,Java,50,12,262
1,Java,2,7,32
7,Java,152,148,869
6,Java,61,0,159
29,Java,265,178,1129
86,Java,1316,557,4690
7,Java,92,31,675
17,Java,242,12,900
11,Java,63,7,354
43,Java,551,344,1797
3,Java,36,34,110
5,Java,126,46,693
7,Java,71,29,292
5,Java,72,85,395
68,Java,1527,811,3932
35,Java,549,546,2292
151,Java,2150,1398,10218
4,Java,73,109,392
17,Java,144,151,524
18,Java,313,291,1086
16,Java,282,301,836
43,Java,281,149,725
54,Java,655,326,1580
38,Java,315,87,1109
111,Java,1879,819,6111
19,Java,419,389,1857
10,Java,136,96,511
38,Java,590,1524,1713
54,Java,565,546,2362
16,Java,253,1068,1034
16,Java,284,246,1108
4,Java,75,8,272
20,Java,428,856,2079
4,Java,31,8,140
3,Java,86,36,353
3,Java,36,30,207
17,Java,279,159,1606
307,Java,8286,17854,76083
4,Java,47,21,170
6,Java,79,38,232
5,Java,86,54,323
6,Java,78,263,478
2,Java,94,26,426
31,Java,287,83,896
13,Java,123,49,535
68,Java,660,249,2095
3,Java,32,4,106
112,Java,1344,1649,5513
26,Java,233,648,818
7,Java,158,176,609
20,Java,238,101,1289
2,Java,80,111,359
1,Java,13,2,161
4,Java,59,23,258
14,Java,212,145,681
14,Java,991,41,4592
120,Java,1053,648,4003
57,Java,570,2133,4105
17,Java,84,100,2152
9,Java,130,129,605
9,Java,155,188,729
18,Java,378,467,1457
70,Java,1729,4094,8941
9,Java,115,84,368
44,Java,505,401,2572
33,Java,666,431,3945
19,Java,423,474,2250
19,Java,435,837,2341
11,Java,171,68,646
109,Java,2959,3736,14186
72,Java,664,642,2890
28,Java,664,463,3981
4,Java,60,14,261
4,Java,93,78,287
36,Java,474,325,2335
22,Java,167,540,1459
8,Java,101,60,453
8,Java,180,23,490
3,Java,114,8,507
4,Java,176,32,442
5,Java,174,37,405
45,Java,1440,3358,6675
7,Java,89,17,420
35,Java,495,171,2196
8,Java,101,63,413
47,Java,1098,3427,4337
90,Java,2192,783,9520
18,Java,354,237,1464
16,Java,149,434,908
6,Java,66,27,442
156,Java,1785,1173,6570
26,Java,299,633,1033
14,Java,163,58,588
24,Java,426,120,1975
3,Java,44,1,567
6,Java,51,26,399
40,Java,695,611,3783
12,Java,105,73,389
3,Java,65,22,258
9,Java,195,44,689
9,Java,101,58,323
10,Java,224,612,1357
272,Java,8437,7055,40921
185,Java,2345,1596,8983
5,Java,214,499,1009
19,Java,240,40,765
5,Java,81,127,358
21,Java,342,487,1702
18,Java,217,142,825
3,Java,137,36,544
227,Java,1693,4967,8175
