query,start,end,tp,total,t1,t1total,t2,t2total,t3,t3total
selected/1939239.java_testAutoCommit,203,226,1,11,1,1,0,0,0,10
selected/2523541.java_getMD5Str,12,30,7,14,0,0,1,1,6,13
selected/1207917.java_copy,20,62,14,15,2,2,0,0,12,13
selected/2477731.java_send,20,44,4,20,1,1,0,0,3,19
selected/194044.java_importRoles,13,35,2,11,0,0,1,1,1,10
selected/1115032.java_generateMD5,92,109,3,20,0,0,1,1,2,19
selected/1085000.java_deleteProgram,157,200,8,10,0,0,1,1,7,9
selected/2042564.java_getGraphPath,400,411,3,18,1,1,0,0,2,17
selected/398592.java_registerPlayer,36,45,1,13,1,1,0,0,0,12
selected/1280377.java_readObject,556,569,1,11,1,1,0,0,0,10
selected/293333.java_copyFile,72,107,11,13,1,1,0,0,10,12
selected/1784649.java_getWebPage,25,45,1,10,1,1,0,0,0,9
selected/542382.java_SHA1,191,206,6,14,1,1,2,2,3,11
selected/1940496.java_getCoded,7,21,1,13,1,1,0,0,0,12
selected/1319165.java_encrypt,17,32,10,20,0,0,2,2,8,18
selected/705884.java_getRandomGUID,38,72,15,17,10,10,1,1,4,6
selected/350687.java_hashString,30,45,2,15,1,1,0,0,1,14
selected/269132.java_hash,375,386,2,14,1,1,0,0,1,13
selected/2261424.java_insert,48,74,1,18,1,1,0,0,0,17
selected/814095.java_getRandomGUID,38,72,14,15,9,9,1,1,4,5
selected/1132046.java_getRandomGUID,177,211,13,14,8,8,1,1,4,5
selected/338794.java_getMD5_Base64,17,33,3,14,0,0,1,1,2,13
selected/349715.java_getGUID,38,72,12,13,0,0,8,8,4,5
selected/783705.java_getRandomGUID,45,79,11,12,7,7,0,0,4,5
selected/1977358.java_copyFile,112,134,1,13,1,1,0,0,0,12
selected/1379643.java_getHash,87,105,2,17,1,1,0,0,1,16
selected/785238.java_getRandomGUID,43,77,9,10,6,6,0,0,3,4
selected/1940607.java_MD5,9,22,1,12,0,0,1,1,0,11
selected/226776.java_copy,20,62,9,10,1,1,0,0,8,9
selected/2409817.java_hash,195,215,1,11,1,1,0,0,0,10
selected/59218.java_decodeFileToFile,768,794,9,20,9,9,0,9,0,2
selected/1561076.java_encodeFileToFile,908,934,8,19,8,8,0,9,0,2
selected/1561076.java_decodeFileToFile,946,972,8,18,8,8,0,8,0,2
selected/2365821.java_encodeFileToFile,838,864,7,17,7,7,0,8,0,2
selected/2365821.java_decodeFileToFile,874,900,7,16,7,7,0,7,0,2
selected/1402632.java_encodeFileToFile,838,864,6,15,6,6,0,7,0,2
selected/1402632.java_decodeFileToFile,874,900,6,14,6,6,0,6,0,2
selected/1596202.java_crear,34,56,15,16,0,0,2,2,13,14
