settings,precision,mrr,map
lmj_0.0_x_1, 0.8199999999999998, 1.0, 0.939638321995
lmj_0.0_x_2, 0.8719999999999998, 1.0, 0.968790046296
lmj_0.0_x_3, 0.9019999999999995, 1.0, 0.988645998677
lmj_0.0_x_4, 0.8999999999999996, 1.0, 0.990485229277
lmj_0.0_s_1, 0.7209999999999998, 1.0, 0.922433508125
lmj_0.0_s_2, 0.7969999999999999, 1.0, 0.961880747669
lmj_0.0_s_3, 0.8039999999999992, 1.0, 0.973347938713
lmj_0.0_s_4, 0.7939999999999994, 1.0, 0.966148014298
lmj_0.0_w_1, 0.8500000000000005, 1.0, 0.981118898022
lmj_0.0_w_2, 0.8960000000000004, 1.0, 0.998009700176
lmj_0.0_w_3, 0.9000000000000006, 1.0, 0.995534391534
lmj_0.0_w_4, 0.8990000000000006, 1.0, 0.989602347884
lmj_0.0_ws_1, 0.6910000000000003, 1.0, 0.95460316358
lmj_0.0_ws_2, 0.8160000000000003, 1.0, 0.981181878307
lmj_0.0_ws_3, 0.8180000000000004, 1.0, 0.987422430083
lmj_0.0_ws_4, 0.7980000000000003, 1.0, 0.979512621252
lmj_0.0_p_1, 0.8289999999999997, 1.0, 0.94376266062
lmj_0.0_p_2, 0.8679999999999997, 1.0, 0.972342427249
lmj_0.0_p_3, 0.9039999999999995, 1.0, 0.989979332011
lmj_0.0_p_4, 0.8999999999999996, 1.0, 0.990485229277
lmj_0.0_ps_1, 0.7269999999999998, 1.0, 0.925933508125
lmj_0.0_ps_2, 0.7959999999999998, 1.0, 0.961091946964
lmj_0.0_ps_3, 0.8019999999999993, 1.0, 0.97512571649
lmj_0.0_ps_4, 0.7959999999999994, 1.0, 0.97192976033
lmj_0.0_pw_1, 0.8500000000000004, 1.0, 0.983205317775
lmj_0.0_pw_2, 0.8820000000000005, 1.0, 0.993175485009
lmj_0.0_pw_3, 0.8870000000000005, 1.0, 0.995534391534
lmj_0.0_pw_4, 0.8970000000000005, 1.0, 0.990852347884
lmj_0.0_pws_1, 0.698, 1.0, 0.959915183296
lmj_0.0_pws_2, 0.7810000000000004, 1.0, 0.975675540123
lmj_0.0_pws_3, 0.7890000000000005, 1.0, 0.980879275321
lmj_0.0_pws_4, 0.8000000000000003, 1.0, 0.979786541005
lmj_0.0_k_1, 0.8169999999999998, 1.0, 0.932534706475
lmj_0.0_k_2, 0.8679999999999999, 1.0, 0.969171957672
lmj_0.0_k_3, 0.9039999999999998, 1.0, 0.987494472789
lmj_0.0_k_4, 0.8959999999999998, 1.0, 0.990408840388
lmj_0.0_ks_1, 0.7249999999999999, 1.0, 0.913207758566
lmj_0.0_ks_2, 0.7939999999999996, 1.0, 0.95938146416
lmj_0.0_ks_3, 0.8039999999999995, 1.0, 0.971643471277
lmj_0.0_ks_4, 0.7759999999999994, 1.0, 0.967573853616
lmj_0.0_kw_1, 0.8290000000000002, 1.0, 0.983462758251
lmj_0.0_kw_2, 0.894, 1.0, 0.993169863316
lmj_0.0_kw_3, 0.8950000000000006, 1.0, 0.994366071429
lmj_0.0_kw_4, 0.8970000000000005, 1.0, 0.989950947972
lmj_0.0_kws_1, 0.671, 1.0, 0.941319976694
lmj_0.0_kws_2, 0.8129999999999998, 1.0, 0.975335490678
lmj_0.0_kws_3, 0.8150000000000004, 1.0, 0.985512566138
lmj_0.0_kws_4, 0.8030000000000004, 1.0, 0.977050925926
lmj_0.0_kp_1, 0.8199999999999998, 1.0, 0.935562484253
lmj_0.0_kp_2, 0.8619999999999998, 1.0, 0.971986772487
lmj_0.0_kp_3, 0.9079999999999997, 1.0, 0.986091695011
lmj_0.0_kp_4, 0.8949999999999997, 1.0, 0.990408840388
lmj_0.0_kps_1, 0.7289999999999999, 1.0, 0.913154848513
lmj_0.0_kps_2, 0.7869999999999997, 1.0, 0.960970970333
lmj_0.0_kps_3, 0.8009999999999993, 1.0, 0.974072042706
lmj_0.0_kps_4, 0.7719999999999995, 1.0, 0.971129409171
lmj_0.0_kpw_1, 0.8300000000000004, 1.0, 0.984665099836
lmj_0.0_kpw_2, 0.887, 1.0, 0.992488315697
lmj_0.0_kpw_3, 0.8790000000000004, 1.0, 0.994979717813
lmj_0.0_kpw_4, 0.8920000000000006, 1.0, 0.991576058201
lmj_0.0_kpws_1, 0.6710000000000003, 1.0, 0.951248256803
lmj_0.0_kpws_2, 0.7889999999999998, 1.0, 0.971675878685
lmj_0.0_kpws_3, 0.7810000000000005, 1.0, 0.983530974427
lmj_0.0_kpws_4, 0.7990000000000005, 1.0, 0.974185185185
lmj_0.0_j_1, 0.7809999999999999, 1.0, 0.939144085412
lmj_0.0_j_2, 0.8649999999999998, 1.0, 0.96730026455
lmj_0.0_j_3, 0.8849999999999996, 1.0, 0.988630566578
lmj_0.0_j_4, 0.8999999999999996, 1.0, 0.98763106261
lmj_0.0_js_1, 0.7019999999999997, 1.0, 0.908206372827
lmj_0.0_js_2, 0.7849999999999998, 1.0, 0.957579341459
lmj_0.0_js_3, 0.7829999999999994, 1.0, 0.970393353175
lmj_0.0_js_4, 0.7919999999999991, 1.0, 0.964688413328
lmj_0.0_jw_1, 0.8560000000000006, 1.0, 0.980763503086
lmj_0.0_jw_2, 0.879, 1.0, 0.993030643739
lmj_0.0_jw_3, 0.8990000000000004, 1.0, 0.994427358907
lmj_0.0_jw_4, 0.8970000000000005, 1.0, 0.99181037415
lmj_0.0_jws_1, 0.682, 1.0, 0.950340006929
lmj_0.0_jws_2, 0.7960000000000003, 1.0, 0.97401295194
lmj_0.0_jws_3, 0.8040000000000002, 1.0, 0.983610284392
lmj_0.0_jws_4, 0.8190000000000004, 1.0, 0.981217868166
lmj_0.0_jp_1, 0.7859999999999998, 1.0, 0.938054138322
lmj_0.0_jp_2, 0.8539999999999998, 1.0, 0.971342151675
lmj_0.0_jp_3, 0.8869999999999995, 1.0, 0.989963899912
lmj_0.0_jp_4, 0.8999999999999996, 1.0, 0.98763106261
lmj_0.0_jps_1, 0.7009999999999998, 1.0, 0.912599670887
lmj_0.0_jps_2, 0.7600000000000001, 1.0, 0.959556854686
lmj_0.0_jps_3, 0.7809999999999994, 1.0, 0.975208167989
lmj_0.0_jps_4, 0.7959999999999993, 1.0, 0.969327302217
lmj_0.0_jpw_1, 0.8620000000000003, 1.0, 0.97845960097
lmj_0.0_jpw_2, 0.8790000000000003, 1.0, 0.994892967372
lmj_0.0_jpw_3, 0.8830000000000002, 1.0, 0.994566247795
lmj_0.0_jpw_4, 0.8950000000000005, 1.0, 0.993102040816
lmj_0.0_jpws_1, 0.7250000000000001, 1.0, 0.951300390527
lmj_0.0_jpws_2, 0.7740000000000004, 1.0, 0.973994433422
lmj_0.0_jpws_3, 0.8020000000000003, 1.0, 0.987251818783
lmj_0.0_jpws_4, 0.8200000000000004, 1.0, 0.982356757055
lmj_0.0_jk_1, 0.773, 1.0, 0.935979623331
lmj_0.0_jk_2, 0.8579999999999997, 1.0, 0.969293871252
lmj_0.0_jk_3, 0.8839999999999998, 1.0, 0.986487197657
lmj_0.0_jk_4, 0.8869999999999998, 1.0, 0.986038092089
lmj_0.0_jks_1, 0.6819999999999997, 1.0, 0.908651762094
lmj_0.0_jks_2, 0.7789999999999998, 1.0, 0.958909005732
lmj_0.0_jks_3, 0.7839999999999995, 1.0, 0.970257015306
lmj_0.0_jks_4, 0.7729999999999994, 1.0, 0.965558925422
lmj_0.0_jkw_1, 0.8340000000000003, 1.0, 0.986077121126
lmj_0.0_jkw_2, 0.8780000000000004, 1.0, 0.99584303351
lmj_0.0_jkw_3, 0.8730000000000006, 1.0, 0.99430026455
lmj_0.0_jkw_4, 0.8920000000000006, 1.0, 0.991537147266
lmj_0.0_jkws_1, 0.6450000000000002, 1.0, 0.902513077916
lmj_0.0_jkws_2, 0.785, 1.0, 0.972518345301
lmj_0.0_jkws_3, 0.7950000000000003, 1.0, 0.985749724427
lmj_0.0_jkws_4, 0.8200000000000006, 1.0, 0.98341837522
lmj_0.0_jkp_1, 0.7739999999999998, 1.0, 0.929091340703
lmj_0.0_jkp_2, 0.8519999999999998, 1.0, 0.970520943563
lmj_0.0_jkp_3, 0.8819999999999998, 1.0, 0.98782053099
lmj_0.0_jkp_4, 0.8939999999999997, 1.0, 0.986704758755
lmj_0.0_jkps_1, 0.6799999999999998, 1.0, 0.910657494016
lmj_0.0_jkps_2, 0.7589999999999999, 1.0, 0.956418831885
lmj_0.0_jkps_3, 0.7819999999999995, 1.0, 0.973905163454
lmj_0.0_jkps_4, 0.7709999999999994, 1.0, 0.967971623835
lmj_0.0_jkpw_1, 0.8419999999999999, 1.0, 0.987655439027
lmj_0.0_jkpw_2, 0.8560000000000002, 1.0, 0.995406525573
lmj_0.0_jkpw_3, 0.8750000000000004, 1.0, 0.993928130511
lmj_0.0_jkpw_4, 0.8920000000000006, 1.0, 0.992952491182
lmj_0.0_jkpws_1, 0.6690000000000002, 1.0, 0.904989235324
lmj_0.0_jkpws_2, 0.768, 1.0, 0.974694271227
lmj_0.0_jkpws_3, 0.7910000000000003, 1.0, 0.985794697972
lmj_0.0_jkpws_4, 0.8240000000000006, 1.0, 0.983886629189
lmj_0.0_d_1, 0.7999999999999996, 1.0, 0.932940901361
lmj_0.0_d_2, 0.8709999999999998, 1.0, 0.966595601852
lmj_0.0_d_3, 0.9019999999999995, 1.0, 0.988009093915
lmj_0.0_d_4, 0.8999999999999996, 1.0, 0.990825507055
lmj_0.0_ds_1, 0.7089999999999996, 1.0, 0.919532005858
lmj_0.0_ds_2, 0.7919999999999999, 1.0, 0.957259558453
lmj_0.0_ds_3, 0.8009999999999994, 1.0, 0.972984843474
lmj_0.0_ds_4, 0.7929999999999993, 1.0, 0.966185996158
lmj_0.0_dw_1, 0.8420000000000002, 1.0, 0.978692090262
lmj_0.0_dw_2, 0.8900000000000005, 1.0, 0.996432539683
lmj_0.0_dw_3, 0.8910000000000005, 1.0, 0.994649470899
lmj_0.0_dw_4, 0.9010000000000007, 1.0, 0.987741236772
lmj_0.0_dws_1, 0.6830000000000003, 1.0, 0.943942008377
lmj_0.0_dws_2, 0.8039999999999998, 1.0, 0.978561555178
lmj_0.0_dws_3, 0.8010000000000003, 1.0, 0.987962962963
lmj_0.0_dws_4, 0.7980000000000004, 1.0, 0.979552303792
lmj_0.0_dp_1, 0.8089999999999996, 1.0, 0.938065239985
lmj_0.0_dp_2, 0.8679999999999997, 1.0, 0.969897982804
