settings,precision,mrr,map
lmd_500_x_1, 0.8199999999999998, 1.0, 0.939638321995
lmd_500_x_2, 0.8719999999999998, 1.0, 0.968790046296
lmd_500_x_3, 0.9019999999999995, 1.0, 0.988645998677
lmd_500_x_4, 0.8999999999999996, 1.0, 0.990485229277
lmd_500_s_1, 0.7209999999999998, 1.0, 0.922433508125
lmd_500_s_2, 0.7969999999999999, 1.0, 0.961880747669
lmd_500_s_3, 0.8039999999999992, 1.0, 0.973347938713
lmd_500_s_4, 0.7939999999999994, 1.0, 0.966148014298
lmd_500_w_1, 0.8500000000000005, 1.0, 0.981118898022
lmd_500_w_2, 0.8960000000000004, 1.0, 0.998009700176
lmd_500_w_3, 0.9000000000000006, 1.0, 0.995534391534
lmd_500_w_4, 0.8990000000000006, 1.0, 0.989602347884
lmd_500_ws_1, 0.6910000000000003, 1.0, 0.95460316358
lmd_500_ws_2, 0.8160000000000003, 1.0, 0.981181878307
lmd_500_ws_3, 0.8180000000000004, 1.0, 0.987422430083
lmd_500_ws_4, 0.7980000000000003, 1.0, 0.979512621252
lmd_500_p_1, 0.8289999999999997, 1.0, 0.94376266062
lmd_500_p_2, 0.8679999999999997, 1.0, 0.972342427249
lmd_500_p_3, 0.9039999999999995, 1.0, 0.989979332011
lmd_500_p_4, 0.8999999999999996, 1.0, 0.990485229277
lmd_500_ps_1, 0.7269999999999998, 1.0, 0.925933508125
lmd_500_ps_2, 0.7959999999999998, 1.0, 0.961091946964
lmd_500_ps_3, 0.8019999999999993, 1.0, 0.97512571649
lmd_500_ps_4, 0.7959999999999994, 1.0, 0.97192976033
lmd_500_pw_1, 0.8500000000000004, 1.0, 0.983205317775
lmd_500_pw_2, 0.8820000000000005, 1.0, 0.993175485009
lmd_500_pw_3, 0.8870000000000005, 1.0, 0.995534391534
lmd_500_pw_4, 0.8970000000000005, 1.0, 0.990852347884
lmd_500_pws_1, 0.698, 1.0, 0.959915183296
lmd_500_pws_2, 0.7810000000000004, 1.0, 0.975675540123
lmd_500_pws_3, 0.7890000000000005, 1.0, 0.980879275321
lmd_500_pws_4, 0.8000000000000003, 1.0, 0.979786541005
lmd_500_k_1, 0.8169999999999998, 1.0, 0.932534706475
lmd_500_k_2, 0.8679999999999999, 1.0, 0.969171957672
lmd_500_k_3, 0.9039999999999998, 1.0, 0.987494472789
lmd_500_k_4, 0.8959999999999998, 1.0, 0.990408840388
lmd_500_ks_1, 0.7249999999999999, 1.0, 0.913207758566
lmd_500_ks_2, 0.7939999999999996, 1.0, 0.95938146416
lmd_500_ks_3, 0.8039999999999995, 1.0, 0.971643471277
lmd_500_ks_4, 0.7759999999999994, 1.0, 0.967573853616
lmd_500_kw_1, 0.8290000000000002, 1.0, 0.983462758251
lmd_500_kw_2, 0.894, 1.0, 0.993169863316
lmd_500_kw_3, 0.8950000000000006, 1.0, 0.994366071429
lmd_500_kw_4, 0.8970000000000005, 1.0, 0.989950947972
lmd_500_kws_1, 0.671, 1.0, 0.941319976694
lmd_500_kws_2, 0.8129999999999998, 1.0, 0.975335490678
lmd_500_kws_3, 0.8150000000000004, 1.0, 0.985512566138
lmd_500_kws_4, 0.8030000000000004, 1.0, 0.977050925926
lmd_500_kp_1, 0.8199999999999998, 1.0, 0.935562484253
lmd_500_kp_2, 0.8619999999999998, 1.0, 0.971986772487
lmd_500_kp_3, 0.9079999999999997, 1.0, 0.986091695011
lmd_500_kp_4, 0.8949999999999997, 1.0, 0.990408840388
lmd_500_kps_1, 0.7289999999999999, 1.0, 0.913154848513
lmd_500_kps_2, 0.7869999999999997, 1.0, 0.960970970333
lmd_500_kps_3, 0.8009999999999993, 1.0, 0.974072042706
lmd_500_kps_4, 0.7719999999999995, 1.0, 0.971129409171
lmd_500_kpw_1, 0.8300000000000004, 1.0, 0.984665099836
lmd_500_kpw_2, 0.887, 1.0, 0.992488315697
lmd_500_kpw_3, 0.8790000000000004, 1.0, 0.994979717813
lmd_500_kpw_4, 0.8920000000000006, 1.0, 0.991576058201
lmd_500_kpws_1, 0.6710000000000003, 1.0, 0.951248256803
lmd_500_kpws_2, 0.7889999999999998, 1.0, 0.971675878685
lmd_500_kpws_3, 0.7810000000000005, 1.0, 0.983530974427
lmd_500_kpws_4, 0.7990000000000005, 1.0, 0.974185185185
lmd_500_j_1, 0.7809999999999999, 1.0, 0.939144085412
lmd_500_j_2, 0.8649999999999998, 1.0, 0.96730026455
lmd_500_j_3, 0.8849999999999996, 1.0, 0.988630566578
lmd_500_j_4, 0.8999999999999996, 1.0, 0.98763106261
lmd_500_js_1, 0.7019999999999997, 1.0, 0.908206372827
lmd_500_js_2, 0.7849999999999998, 1.0, 0.957579341459
lmd_500_js_3, 0.7829999999999994, 1.0, 0.970393353175
lmd_500_js_4, 0.7919999999999991, 1.0, 0.964688413328
lmd_500_jw_1, 0.8560000000000006, 1.0, 0.980763503086
lmd_500_jw_2, 0.879, 1.0, 0.993030643739
lmd_500_jw_3, 0.8990000000000004, 1.0, 0.994427358907
lmd_500_jw_4, 0.8970000000000005, 1.0, 0.99181037415
lmd_500_jws_1, 0.682, 1.0, 0.950340006929
lmd_500_jws_2, 0.7960000000000003, 1.0, 0.97401295194
lmd_500_jws_3, 0.8040000000000002, 1.0, 0.983610284392
lmd_500_jws_4, 0.8190000000000004, 1.0, 0.981217868166
lmd_500_jp_1, 0.7859999999999998, 1.0, 0.938054138322
lmd_500_jp_2, 0.8539999999999998, 1.0, 0.971342151675
lmd_500_jp_3, 0.8869999999999995, 1.0, 0.989963899912
lmd_500_jp_4, 0.8999999999999996, 1.0, 0.98763106261
lmd_500_jps_1, 0.7009999999999998, 1.0, 0.912599670887
lmd_500_jps_2, 0.7600000000000001, 1.0, 0.959556854686
lmd_500_jps_3, 0.7809999999999994, 1.0, 0.975208167989
lmd_500_jps_4, 0.7959999999999993, 1.0, 0.969327302217
lmd_500_jpw_1, 0.8620000000000003, 1.0, 0.97845960097
lmd_500_jpw_2, 0.8790000000000003, 1.0, 0.994892967372
lmd_500_jpw_3, 0.8830000000000002, 1.0, 0.994566247795
lmd_500_jpw_4, 0.8950000000000005, 1.0, 0.993102040816
lmd_500_jpws_1, 0.7250000000000001, 1.0, 0.951300390527
lmd_500_jpws_2, 0.7740000000000004, 1.0, 0.973994433422
lmd_500_jpws_3, 0.8020000000000003, 1.0, 0.987251818783
lmd_500_jpws_4, 0.8200000000000004, 1.0, 0.982356757055
lmd_500_jk_1, 0.773, 1.0, 0.935979623331
lmd_500_jk_2, 0.8579999999999997, 1.0, 0.969293871252
lmd_500_jk_3, 0.8839999999999998, 1.0, 0.986487197657
lmd_500_jk_4, 0.8869999999999998, 1.0, 0.986038092089
lmd_500_jks_1, 0.6819999999999997, 1.0, 0.908651762094
lmd_500_jks_2, 0.7789999999999998, 1.0, 0.958909005732
lmd_500_jks_3, 0.7839999999999995, 1.0, 0.970257015306
lmd_500_jks_4, 0.7729999999999994, 1.0, 0.965558925422
lmd_500_jkw_1, 0.8340000000000003, 1.0, 0.986077121126
lmd_500_jkw_2, 0.8780000000000004, 1.0, 0.99584303351
lmd_500_jkw_3, 0.8730000000000006, 1.0, 0.99430026455
lmd_500_jkw_4, 0.8920000000000006, 1.0, 0.991537147266
lmd_500_jkws_1, 0.6450000000000002, 1.0, 0.902513077916
lmd_500_jkws_2, 0.785, 1.0, 0.972518345301
lmd_500_jkws_3, 0.7950000000000003, 1.0, 0.985749724427
