Settings, precisonMar 28, 2016 1:12:41 AM org.elasticsearch.plugins.PluginsService <init>
INFO: [Bella Donna] loaded [], sites []
tfidf_no_x_1,0.7988888888888883
tfidf_no_x_2,0.8077777777777774
tfidf_no_x_3,0.7855555555555555
tfidf_no_x_4,0.7844444444444443
tfidf_no_s_1,0.6688888888888889
tfidf_no_s_2,0.6844444444444442
tfidf_no_s_3,0.6900000000000001
tfidf_no_s_4,0.6611111111111112
tfidf_no_w_1,0.7833333333333337
tfidf_no_w_2,0.8444444444444446
tfidf_no_w_3,0.84
tfidf_no_w_4,0.8411111111111115
tfidf_no_ws_1,0.5288888888888886
tfidf_no_ws_2,0.6244444444444445
tfidf_no_ws_3,0.6088888888888887
tfidf_no_ws_4,0.6188888888888886
tfidf_no_p_1,0.8155555555555551
tfidf_no_p_2,0.8033333333333327
tfidf_no_p_3,0.7888888888888889
tfidf_no_p_4,0.7788888888888889
tfidf_no_ps_1,0.681111111111111
tfidf_no_ps_2,0.6899999999999998
tfidf_no_ps_3,0.6711111111111112
tfidf_no_ps_4,0.6566666666666667
tfidf_no_pw_1,0.8033333333333336
tfidf_no_pw_2,0.8488888888888895
tfidf_no_pw_3,0.8611111111111116
tfidf_no_pw_4,0.8422222222222223
tfidf_no_pws_1,0.5177777777777777
tfidf_no_pws_2,0.6422222222222219
tfidf_no_pws_3,0.6088888888888889
tfidf_no_pws_4,0.6355555555555554
tfidf_no_k_1,0.8022222222222217
tfidf_no_k_2,0.7766666666666663
tfidf_no_k_3,0.7744444444444442
tfidf_no_k_4,0.7722222222222219
tfidf_no_ks_1,0.6655555555555553
tfidf_no_ks_2,0.6633333333333332
tfidf_no_ks_3,0.6755555555555555
tfidf_no_ks_4,0.6533333333333333
tfidf_no_kw_1,0.7977777777777777
tfidf_no_kw_2,0.771111111111111
tfidf_no_kw_3,0.8333333333333335
tfidf_no_kw_4,0.8644444444444442
tfidf_no_kws_1,0.45333333333333364
tfidf_no_kws_2,0.542222222222222
tfidf_no_kws_3,0.5866666666666667
tfidf_no_kws_4,0.6177777777777772
tfidf_no_kp_1,0.7999999999999997
tfidf_no_kp_2,0.7766666666666663
tfidf_no_kp_3,0.7699999999999997
tfidf_no_kp_4,0.7655555555555554
tfidf_no_kps_1,0.6699999999999997
tfidf_no_kps_2,0.6655555555555555
tfidf_no_kps_3,0.6577777777777777
tfidf_no_kps_4,0.6522222222222221
tfidf_no_kpw_1,0.8044444444444453
tfidf_no_kpw_2,0.8111111111111111
tfidf_no_kpw_3,0.8622222222222223
tfidf_no_kpw_4,0.84
tfidf_no_kpws_1,0.47666666666666707
tfidf_no_kpws_2,0.5677777777777776
tfidf_no_kpws_3,0.5599999999999998
tfidf_no_kpws_4,0.594444444444444
tfidf_no_j_1,0.7566666666666663
tfidf_no_j_2,0.7744444444444442
tfidf_no_j_3,0.7755555555555556
tfidf_no_j_4,0.7688888888888886
tfidf_no_js_1,0.6388888888888888
tfidf_no_js_2,0.6588888888888887
tfidf_no_js_3,0.6522222222222224
tfidf_no_js_4,0.6444444444444445
tfidf_no_jw_1,0.7633333333333339
tfidf_no_jw_2,0.8544444444444446
tfidf_no_jw_3,0.8455555555555556
tfidf_no_jw_4,0.8344444444444447
tfidf_no_jws_1,0.4955555555555556
tfidf_no_jws_2,0.6444444444444442
tfidf_no_jws_3,0.6266666666666667
tfidf_no_jws_4,0.6033333333333329
tfidf_no_jp_1,0.7655555555555551
tfidf_no_jp_2,0.7711111111111107
tfidf_no_jp_3,0.7744444444444443
tfidf_no_jp_4,0.7599999999999999
tfidf_no_jps_1,0.6466666666666667
tfidf_no_jps_2,0.6599999999999999
tfidf_no_jps_3,0.6522222222222224
tfidf_no_jps_4,0.6433333333333333
tfidf_no_jpw_1,0.7899999999999999
tfidf_no_jpw_2,0.8511111111111114
tfidf_no_jpw_3,0.8700000000000006
tfidf_no_jpw_4,0.8255555555555557
tfidf_no_jpws_1,0.49999999999999983
tfidf_no_jpws_2,0.6477777777777778
tfidf_no_jpws_3,0.6111111111111112
tfidf_no_jpws_4,0.6188888888888887
tfidf_no_jk_1,0.7488888888888888
tfidf_no_jk_2,0.7599999999999998
tfidf_no_jk_3,0.7766666666666663
tfidf_no_jk_4,0.7633333333333331
tfidf_no_jks_1,0.6433333333333332
tfidf_no_jks_2,0.6422222222222221
tfidf_no_jks_3,0.6488888888888888
tfidf_no_jks_4,0.6344444444444444
tfidf_no_jkw_1,0.7155555555555559
tfidf_no_jkw_2,0.7677777777777777
tfidf_no_jkw_3,0.8044444444444449
tfidf_no_jkw_4,0.7955555555555555
tfidf_no_jkws_1,0.3800000000000001
tfidf_no_jkws_2,0.5133333333333331
tfidf_no_jkws_3,0.5622222222222218
tfidf_no_jkws_4,0.5988888888888885
tfidf_no_jkp_1,0.7455555555555555
tfidf_no_jkp_2,0.7533333333333329
tfidf_no_jkp_3,0.773333333333333
tfidf_no_jkp_4,0.7577777777777774
tfidf_no_jkps_1,0.6377777777777778
tfidf_no_jkps_2,0.6366666666666666
tfidf_no_jkps_3,0.6344444444444445
tfidf_no_jkps_4,0.631111111111111
tfidf_no_jkpw_1,0.7433333333333341
tfidf_no_jkpw_2,0.814444444444444
tfidf_no_jkpw_3,0.8333333333333337
tfidf_no_jkpw_4,0.7988888888888888
tfidf_no_jkpws_1,0.4066666666666668
tfidf_no_jkpws_2,0.5766666666666667
tfidf_no_jkpws_3,0.5655555555555553
tfidf_no_jkpws_4,0.5911111111111108
tfidf_no_d_1,0.7777777777777776
tfidf_no_d_2,0.8055555555555551
tfidf_no_d_3,0.7777777777777778
tfidf_no_d_4,0.7722222222222217
tfidf_no_ds_1,0.6655555555555556
tfidf_no_ds_2,0.6822222222222218
tfidf_no_ds_3,0.6844444444444446
tfidf_no_ds_4,0.6533333333333334
tfidf_no_dw_1,0.7533333333333341
tfidf_no_dw_2,0.8155555555555553
tfidf_no_dw_3,0.8122222222222218
tfidf_no_dw_4,0.8199999999999996
tfidf_no_dws_1,0.47111111111111115
tfidf_no_dws_2,0.5833333333333331
tfidf_no_dws_3,0.5777777777777775
tfidf_no_dws_4,0.5699999999999998
tfidf_no_dp_1,0.7844444444444441
tfidf_no_dp_2,0.7977777777777773
tfidf_no_dp_3,0.778888888888889
tfidf_no_dp_4,0.7688888888888884
tfidf_no_dps_1,0.6777777777777778
tfidf_no_dps_2,0.6877777777777775
tfidf_no_dps_3,0.6655555555555559
tfidf_no_dps_4,0.6488888888888891
tfidf_no_dpw_1,0.7666666666666668
tfidf_no_dpw_2,0.8344444444444447
tfidf_no_dpw_3,0.8366666666666671
tfidf_no_dpw_4,0.8199999999999995
tfidf_no_dpws_1,0.4511111111111112
tfidf_no_dpws_2,0.6011111111111109
tfidf_no_dpws_3,0.5955555555555556
tfidf_no_dpws_4,0.5955555555555553
tfidf_no_dk_1,0.7766666666666664
tfidf_no_dk_2,0.7799999999999996
tfidf_no_dk_3,0.7677777777777774
tfidf_no_dk_4,0.7677777777777776
tfidf_no_dks_1,0.662222222222222
tfidf_no_dks_2,0.6555555555555553
tfidf_no_dks_3,0.6711111111111111
tfidf_no_dks_4,0.6533333333333333
tfidf_no_dkw_1,0.7311111111111113
tfidf_no_dkw_2,0.7633333333333332
tfidf_no_dkw_3,0.8177777777777773
tfidf_no_dkw_4,0.8355555555555553
tfidf_no_dkws_1,0.3700000000000003
tfidf_no_dkws_2,0.46444444444444444
tfidf_no_dkws_3,0.5088888888888887
tfidf_no_dkws_4,0.518888888888889
tfidf_no_dkp_1,0.7744444444444442
tfidf_no_dkp_2,0.7733333333333328
tfidf_no_dkp_3,0.7688888888888886
tfidf_no_dkp_4,0.7633333333333332
tfidf_no_dkps_1,0.661111111111111
tfidf_no_dkps_2,0.6577777777777775
tfidf_no_dkps_3,0.6533333333333334
tfidf_no_dkps_4,0.6511111111111111
tfidf_no_dkpw_1,0.7644444444444451
tfidf_no_dkpw_2,0.7911111111111105
tfidf_no_dkpw_3,0.838888888888889
tfidf_no_dkpw_4,0.8222222222222219
tfidf_no_dkpws_1,0.41555555555555596
tfidf_no_dkpws_2,0.5211111111111107
tfidf_no_dkpws_3,0.5177777777777776
tfidf_no_dkpws_4,0.5177777777777774
tfidf_no_dj_1,0.7488888888888889
tfidf_no_dj_2,0.7522222222222219
tfidf_no_dj_3,0.7600000000000002
tfidf_no_dj_4,0.7611111111111113
tfidf_no_djs_1,0.6377777777777778
tfidf_no_djs_2,0.6533333333333332
tfidf_no_djs_3,0.647777777777778
tfidf_no_djs_4,0.6377777777777778
