Settings, precison
tfidf_no_x_1,0.8166666666666663
tfidf_no_x_2,0.813333333333333
tfidf_no_x_3,0.8166666666666663
tfidf_no_x_4,0.8055555555555552
tfidf_no_s_1,0.7288888888888887
tfidf_no_s_2,0.7388888888888886
tfidf_no_s_3,0.7288888888888885
tfidf_no_s_4,0.7133333333333332
tfidf_no_w_1,0.7600000000000002
tfidf_no_w_2,0.8033333333333335
tfidf_no_w_3,0.8111111111111111
tfidf_no_w_4,0.8222222222222222
tfidf_no_ws_1,0.5511111111111111
tfidf_no_ws_2,0.6188888888888887
tfidf_no_ws_3,0.6177777777777774
tfidf_no_ws_4,0.6722222222222217
tfidf_no_p_1,0.8099999999999997
tfidf_no_p_2,0.8044444444444441
tfidf_no_p_3,0.8088888888888884
tfidf_no_p_4,0.7988888888888884
tfidf_no_ps_1,0.7244444444444443
tfidf_no_ps_2,0.7299999999999999
tfidf_no_ps_3,0.7188888888888886
tfidf_no_ps_4,0.7066666666666666
tfidf_no_pw_1,0.8122222222222226
tfidf_no_pw_2,0.8377777777777782
tfidf_no_pw_3,0.8511111111111115
tfidf_no_pw_4,0.821111111111111
tfidf_no_pws_1,0.5655555555555555
tfidf_no_pws_2,0.6566666666666665
tfidf_no_pws_3,0.6444444444444444
tfidf_no_pws_4,0.6822222222222217
tfidf_no_k_1,0.8188888888888886
tfidf_no_k_2,0.8044444444444441
tfidf_no_k_3,0.8155555555555551
tfidf_no_k_4,0.8055555555555552
tfidf_no_ks_1,0.7299999999999995
tfidf_no_ks_2,0.7266666666666665
tfidf_no_ks_3,0.7188888888888888
tfidf_no_ks_4,0.7066666666666664
tfidf_no_kw_1,0.7811111111111112
tfidf_no_kw_2,0.7166666666666663
tfidf_no_kw_3,0.7977777777777777
tfidf_no_kw_4,0.8400000000000001
tfidf_no_kws_1,0.4788888888888895
tfidf_no_kws_2,0.5033333333333331
tfidf_no_kws_3,0.5966666666666665
tfidf_no_kws_4,0.6722222222222217
tfidf_no_kp_1,0.8122222222222218
tfidf_no_kp_2,0.7988888888888884
tfidf_no_kp_3,0.8088888888888884
tfidf_no_kp_4,0.7955555555555551
tfidf_no_kps_1,0.7233333333333329
tfidf_no_kps_2,0.7166666666666666
tfidf_no_kps_3,0.7088888888888888
tfidf_no_kps_4,0.6999999999999997
tfidf_no_kpw_1,0.8088888888888892
tfidf_no_kpw_2,0.7711111111111113
tfidf_no_kpw_3,0.8111111111111114
tfidf_no_kpw_4,0.8222222222222222
tfidf_no_kpws_1,0.5122222222222227
tfidf_no_kpws_2,0.6055555555555552
tfidf_no_kpws_3,0.5833333333333331
tfidf_no_kpws_4,0.6366666666666663
tfidf_no_j_1,0.8099999999999997
tfidf_no_j_2,0.8011111111111109
tfidf_no_j_3,0.8044444444444443
tfidf_no_j_4,0.801111111111111
tfidf_no_js_1,0.7099999999999996
tfidf_no_js_2,0.731111111111111
