Settings, precison
tfidf_false_dj_2,0.892222222
tfidf_no_jw_2,0.891111111
tfidf_true_jkpw_2,0.891111111
tfidf_false_jkpw_2,0.891111111
tfidf_no_djpw_3,0.89
tfidf_true_kp_2,0.89
tfidf_false_kp_2,0.89
tfidf_true_dkp_2,0.887777778
tfidf_false_dkp_2,0.887777778
tfidf_true_jk_2,0.883333333
tfidf_false_jk_2,0.883333333
tfidf_true_djkpw_2,0.881111111
tfidf_false_djkpw_2,0.881111111
tfidf_true_jw_1,0.88
tfidf_false_jw_1,0.88
tfidf_true_jp_2,0.88
tfidf_true_djk_2,0.88
tfidf_false_jp_2,0.88
tfidf_false_djk_2,0.88
tfidf_no_pw_2,0.878888889
tfidf_true_djp_2,0.878888889
tfidf_false_djp_2,0.878888889
tfidf_true_jkp_2,0.876666667
tfidf_true_djkp_2,0.876666667
tfidf_false_jkp_2,0.876666667
tfidf_false_djkp_2,0.876666667
tfidf_no_jw_4,0.874444444
tfidf_no_pw_4,0.873333333
tfidf_no_dpw_3,0.873333333
tfidf_true_jpw_1,0.873333333
tfidf_false_jpw_1,0.873333333
tfidf_no_jpw_2,0.872222222
tfidf_no_w_4,0.871111111
tfidf_true_djw_1,0.871111111
tfidf_false_djw_1,0.871111111
tfidf_no_kw_4,0.87
tfidf_no_djw_2,0.868888889
tfidf_true_pw_1,0.866666667
tfidf_false_pw_1,0.866666667
tfidf_no_jkw_3,0.864444444
tfidf_true_jkpw_1,0.864444444
tfidf_false_jkpw_1,0.864444444
tfidf_no_djpw_2,0.863333333
tfidf_true_djpw_1,0.863333333
tfidf_false_djpw_1,0.863333333
tfidf_true_w_1,0.862222222
tfidf_false_w_1,0.862222222
tfidf_true_dpw_1,0.861111111
tfidf_false_dpw_1,0.861111111
tfidf_no_djw_4,0.861111111
tfidf_no_dpw_2,0.858888889
tfidf_no_jpw_4,0.856666667
tfidf_true_dw_1,0.856666667
tfidf_false_dw_1,0.856666667
tfidf_no_w_2,0.855555556
tfidf_no_dw_3,0.855555556
tfidf_true_jpws_4,0.848888889
tfidf_false_jpws_4,0.848888889
tfidf_no_dw_4,0.848888889
tfidf_no_dpw_4,0.848888889
tfidf_true_djkpw_1,0.848888889
tfidf_false_djkpw_1,0.848888889
tfidf_no_djpw_4,0.846666667
tfidf_no_djkw_3,0.845555556
tfidf_true_kws_2,0.845555556
tfidf_false_kws_2,0.845555556
tfidf_no_kpw_3,0.844444444
tfidf_true_jkw_1,0.844444444
tfidf_false_jkw_1,0.844444444
tfidf_true_jws_4,0.843333333
tfidf_true_jkws_4,0.843333333
tfidf_false_jws_4,0.843333333
tfidf_false_jkws_4,0.843333333
tfidf_no_kw_3,0.84
tfidf_no_jkw_4,0.84
tfidf_true_p_1,0.84
tfidf_true_kws_3,0.84
tfidf_false_p_1,0.84
tfidf_false_kws_3,0.84
tfidf_no_jkpw_2,0.84
tfidf_true_ws_2,0.838888889
tfidf_true_djpws_4,0.838888889
tfidf_false_ws_2,0.838888889
tfidf_false_djpws_4,0.838888889
tfidf_no_jkpw_3,0.838888889
tfidf_true_djkws_4,0.837777778
tfidf_false_djkws_4,0.837777778
tfidf_true_ws_3,0.836666667
tfidf_true_jws_2,0.836666667
tfidf_false_ws_3,0.836666667
tfidf_false_jws_2,0.836666667
tfidf_true_kw_1,0.835555556
tfidf_true_djkw_1,0.835555556
tfidf_false_kw_1,0.835555556
tfidf_false_djkw_1,0.835555556
tfidf_no_djkpw_2,0.834444444
tfidf_true_kpw_1,0.834444444
tfidf_true_dkws_3,0.834444444
tfidf_false_kpw_1,0.834444444
tfidf_false_dkws_3,0.834444444
tfidf_true_kp_1,0.833333333
tfidf_true_jkpws_4,0.833333333
tfidf_false_kp_1,0.833333333
tfidf_false_jkpws_4,0.833333333
tfidf_no_pw_1,0.832222222
tfidf_true_djws_4,0.831111111
tfidf_false_djws_4,0.831111111
tfidf_true_jws_3,0.83
tfidf_false_jws_3,0.83
tfidf_true_kws_4,0.828888889
tfidf_true_dkws_4,0.828888889
tfidf_false_kws_4,0.828888889
