fold1, precison,fold2, precison,fold3, precison,fold4, precison,fold5, precison,fold6, precison,fold7, precison,fold8, precison,fold9, precison,fold10, precison
true_dj_4,0.901111111,true_jpw_3,0.901111111,true_d_4,0.888888889,true_dk_4,0.93,false_d_3,0.896666667,true_p_4,0.898888889,true_dk_4,0.904444444,true_djp_4,0.888888889,true_jkw_2,0.923333333,true_k_3,0.922222222
false_j_4,0.901111111,true_dkw_2,0.901111111,true_dp_4,0.888888889,true_dkp_4,0.93,true_kw_4,0.895555556,true_d_4,0.898888889,true_dkp_4,0.904444444,false_x_4,0.888888889,true_dpw_2,0.923333333,true_dk_3,0.922222222
false_dj_4,0.901111111,true_dkpw_2,0.901111111,true_dj_4,0.888888889,true_djkp_4,0.93,true_dw_4,0.895555556,true_dp_4,0.898888889,false_w_3,0.904444444,false_p_4,0.888888889,false_jw_3,0.923333333,false_p_3,0.922222222
true_dw_4,0.9,false_jw_4,0.901111111,true_djp_4,0.888888889,false_k_4,0.93,false_kw_4,0.895555556,true_dj_4,0.898888889,false_dk_4,0.904444444,false_j_4,0.888888889,false_jkw_2,0.923333333,false_k_3,0.922222222
false_dw_4,0.9,false_jpw_3,0.901111111,false_jkp_4,0.888888889,false_kp_4,0.93,false_dw_4,0.895555556,true_djp_4,0.898888889,false_dkp_4,0.904444444,false_jp_4,0.888888889,false_dpw_2,0.923333333,false_dk_3,0.922222222
true_w_4,0.897777778,false_dkw_2,0.901111111,false_d_4,0.888888889,false_jkp_4,0.93,true_x_4,0.894444444,false_x_4,0.898888889,true_djkp_4,0.903333333,false_d_4,0.888888889,true_jpw_2,0.922222222,true_dp_3,0.921111111
false_w_4,0.897777778,false_dkpw_2,0.901111111,false_dp_4,0.888888889,false_dk_4,0.93,true_p_4,0.894444444,false_p_4,0.898888889,false_djkp_4,0.903333333,false_dp_4,0.888888889,true_dkw_4,0.922222222,false_dp_3,0.921111111
true_dk_4,0.897777778,true_x_4,0.901111111,false_dj_4,0.888888889,false_dkp_4,0.93,true_kp_3,0.894444444,false_d_4,0.898888889,true_dkw_3,0.901111111,false_dj_4,0.888888889,false_jpw_2,0.922222222,true_x_3,0.92
true_dkp_4,0.897777778,true_p_4,0.901111111,false_djp_4,0.888888889,false_djkp_4,0.93,true_j_4,0.894444444,false_dp_4,0.898888889,false_dkw_3,0.901111111,false_djp_4,0.888888889,false_dkw_4,0.922222222,true_k_4,0.92
false_dk_4,0.897777778,true_j_4,0.901111111,true_w_4,0.887777778,true_kw_3,0.927777778,true_jp_4,0.894444444,false_dj_4,0.898888889,true_w_4,0.9,true_kw_4,0.887777778,true_p_3,0.922222222,true_kp_4,0.92
false_dkp_4,0.897777778,true_jp_4,0.901111111,true_dw_4,0.887777778,true_dw_4,0.927777778,false_x_4,0.894444444,false_djp_4,0.898888889,true_pw_4,0.9,false_kw_4,0.887777778,true_dp_3,0.922222222,true_dk_4,0.92
true_k_4,0.896666667,true_d_4,0.901111111,false_w_4,0.887777778,false_kw_3,0.927777778,false_p_4,0.894444444,true_pw_4,0.897777778,false_w_4,0.9,true_dk_3,0.887777778,false_p_3,0.922222222,true_dkp_4,0.92
true_djk_4,0.896666667,true_dp_4,0.901111111,false_dw_4,0.887777778,false_dw_4,0.927777778,false_kp_3,0.894444444,true_kw_4,0.897777778,false_pw_4,0.9,false_dk_3,0.887777778,false_dp_3,0.922222222,false_x_3,0.92
false_k_4,0.896666667,true_dj_4,0.901111111,true_k_3,0.887777778,true_jw_3,0.926666667,false_j_4,0.894444444,false_pw_4,0.897777778,true_p_3,0.898888889,true_w_4,0.885555556,true_kw_4,0.921111111,false_k_4,0.92
false_djk_4,0.896666667,true_djp_4,0.901111111,true_k_4,0.887777778,false_jw_3,0.926666667,false_jp_4,0.894444444,false_kw_4,0.897777778,false_p_3,0.898888889,true_pw_4,0.885555556,true_djw_3,0.921111111,false_kp_4,0.92
true_kw_4,0.895555556,false_x_4,0.901111111,true_dk_3,0.887777778,true_kw_2,0.926666667,true_w_2,0.893333333,true_jkp_4,0.897777778,true_x_3,0.896666667,true_dw_4,0.885555556,false_kw_4,0.921111111,false_dk_4,0.92
true_dkw_4,0.895555556,false_p_4,0.901111111,false_k_3,0.887777778,false_kw_2,0.926666667,false_w_2,0.893333333,false_jkp_4,0.897777778,true_jk_4,0.896666667,true_dpw_4,0.885555556,false_djw_3,0.921111111,false_dkp_4,0.92
true_djw_4,0.895555556,false_j_4,0.901111111,false_k_4,0.887777778,true_pw_4,0.925555556,true_w_4,0.892222222,true_w_3,0.896666667,false_x_3,0.896666667,true_djpw_4,0.885555556,true_jkpw_2,0.92,true_d_3,0.918888889
false_kw_4,0.895555556,false_jp_4,0.901111111,false_dk_3,0.887777778,true_jw_4,0.925555556,false_w_4,0.892222222,true_djkpw_4,0.896666667,false_jk_4,0.896666667,false_w_4,0.885555556,false_jkpw_2,0.92,false_d_3,0.918888889
false_dkw_4,0.895555556,false_d_4,0.901111111,true_kp_4,0.886666667,true_jpw_4,0.925555556,true_jw_4,0.892222222,false_w_3,0.896666667,true_w_2,0.895555556,false_pw_4,0.885555556,true_x_3,0.92,true_jk_4,0.916666667
false_djw_4,0.895555556,false_dp_4,0.901111111,false_kp_4,0.886666667,true_dpw_4,0.925555556,true_jpw_4,0.892222222,false_djkpw_4,0.896666667,true_jw_4,0.895555556,false_dw_4,0.885555556,true_d_3,0.92,true_djk_4,0.916666667
true_kp_4,0.895555556,false_dj_4,0.901111111,true_pw_4,0.885555556,true_djw_4,0.925555556,true_dkpw_4,0.892222222,true_kw_3,0.895555556,true_jpw_4,0.895555556,false_dpw_4,0.885555556,false_x_3,0.92,false_jk_4,0.916666667
