Settings, precisonMar 27, 2016 9:28:35 PM org.elasticsearch.plugins.PluginsService <init>
INFO: [Maxam] loaded [], sites []
tfidf_no_x_1,0.7977777777777775
tfidf_no_x_2,0.7799999999999996
tfidf_no_x_3,0.7677777777777772
tfidf_no_x_4,0.7533333333333329
tfidf_no_s_1,0.6577777777777775
tfidf_no_s_2,0.6588888888888891
tfidf_no_s_3,0.6444444444444444
tfidf_no_s_4,0.6144444444444446
tfidf_no_w_1,0.7633333333333336
tfidf_no_w_2,0.8011111111111112
tfidf_no_w_3,0.81
tfidf_no_w_4,0.8277777777777776
tfidf_no_ws_1,0.52
tfidf_no_ws_2,0.5733333333333331
tfidf_no_ws_3,0.5711111111111109
tfidf_no_ws_4,0.5999999999999999
tfidf_no_p_1,0.8044444444444441
tfidf_no_p_2,0.7822222222222217
tfidf_no_p_3,0.7633333333333328
tfidf_no_p_4,0.7499999999999996
tfidf_no_ps_1,0.6566666666666664
tfidf_no_ps_2,0.6511111111111113
tfidf_no_ps_3,0.6211111111111112
tfidf_no_ps_4,0.6111111111111113
tfidf_no_pw_1,0.8122222222222225
tfidf_no_pw_2,0.8466666666666671
tfidf_no_pw_3,0.8400000000000001
tfidf_no_pw_4,0.8333333333333331
tfidf_no_pws_1,0.5433333333333334
tfidf_no_pws_2,0.6277777777777774
tfidf_no_pws_3,0.5833333333333331
tfidf_no_pws_4,0.6211111111111106
tfidf_no_k_1,0.7944444444444442
tfidf_no_k_2,0.766666666666666
tfidf_no_k_3,0.7588888888888884
tfidf_no_k_4,0.7511111111111106
tfidf_no_ks_1,0.6588888888888884
tfidf_no_ks_2,0.6411111111111112
tfidf_no_ks_3,0.6366666666666666
tfidf_no_ks_4,0.6033333333333335
tfidf_no_kw_1,0.791111111111111
tfidf_no_kw_2,0.7288888888888888
tfidf_no_kw_3,0.7955555555555558
tfidf_no_kw_4,0.8522222222222224
tfidf_no_kws_1,0.45555555555555594
tfidf_no_kws_2,0.482222222222222
tfidf_no_kws_3,0.5444444444444441
tfidf_no_kws_4,0.5899999999999997
tfidf_no_kp_1,0.7933333333333331
tfidf_no_kp_2,0.7811111111111106
tfidf_no_kp_3,0.7555555555555551
tfidf_no_kp_4,0.7499999999999993
tfidf_no_kps_1,0.6577777777777774
tfidf_no_kps_2,0.6322222222222222
tfidf_no_kps_3,0.6144444444444446
tfidf_no_kps_4,0.6022222222222223
tfidf_no_kpw_1,0.8366666666666672
tfidf_no_kpw_2,0.808888888888889
tfidf_no_kpw_3,0.8377777777777782
tfidf_no_kpw_4,0.8555555555555554
tfidf_no_kpws_1,0.5077777777777781
tfidf_no_kpws_2,0.564444444444444
tfidf_no_kpws_3,0.5544444444444441
tfidf_no_kpws_4,0.5888888888888885
tfidf_no_j_1,0.74
tfidf_no_j_2,0.7544444444444441
tfidf_no_j_3,0.7622222222222218
tfidf_no_j_4,0.7522222222222218
tfidf_no_js_1,0.6222222222222221
tfidf_no_js_2,0.6355555555555557
tfidf_no_js_3,0.6155555555555555
tfidf_no_js_4,0.6033333333333334
tfidf_no_jw_1,0.7500000000000001
tfidf_no_jw_2,0.8177777777777776
tfidf_no_jw_3,0.8100000000000003
tfidf_no_jw_4,0.8044444444444445
tfidf_no_jws_1,0.49444444444444435
tfidf_no_jws_2,0.6066666666666666
tfidf_no_jws_3,0.5955555555555554
tfidf_no_jws_4,0.5866666666666664
tfidf_no_jp_1,0.7488888888888888
tfidf_no_jp_2,0.7488888888888886
tfidf_no_jp_3,0.754444444444444
tfidf_no_jp_4,0.7433333333333333
tfidf_no_jps_1,0.6211111111111111
tfidf_no_jps_2,0.6266666666666667
tfidf_no_jps_3,0.6088888888888888
tfidf_no_jps_4,0.6000000000000001
tfidf_no_jpw_1,0.775555555555556
tfidf_no_jpw_2,0.8388888888888894
tfidf_no_jpw_3,0.8544444444444448
tfidf_no_jpw_4,0.817777777777778
tfidf_no_jpws_1,0.5133333333333331
tfidf_no_jpws_2,0.6499999999999998
tfidf_no_jpws_3,0.601111111111111
tfidf_no_jpws_4,0.6166666666666665
tfidf_no_jk_1,0.7611111111111106
tfidf_no_jk_2,0.7455555555555553
tfidf_no_jk_3,0.7566666666666663
tfidf_no_jk_4,0.7433333333333331
tfidf_no_jks_1,0.632222222222222
tfidf_no_jks_2,0.6233333333333333
tfidf_no_jks_3,0.6144444444444445
tfidf_no_jks_4,0.5966666666666668
tfidf_no_jkw_1,0.7600000000000002
tfidf_no_jkw_2,0.7588888888888888
tfidf_no_jkw_3,0.7933333333333334
tfidf_no_jkw_4,0.8133333333333337
tfidf_no_jkws_1,0.4177777777777776
tfidf_no_jkws_2,0.491111111111111
tfidf_no_jkws_3,0.5455555555555553
tfidf_no_jkws_4,0.5755555555555555
tfidf_no_jkp_1,0.7599999999999996
tfidf_no_jkp_2,0.744444444444444
tfidf_no_jkp_3,0.754444444444444
tfidf_no_jkp_4,0.7399999999999998
tfidf_no_jkps_1,0.6288888888888887
tfidf_no_jkps_2,0.6155555555555555
tfidf_no_jkps_3,0.6055555555555555
tfidf_no_jkps_4,0.5944444444444446
tfidf_no_jkpw_1,0.7933333333333337
tfidf_no_jkpw_2,0.812222222222222
tfidf_no_jkpw_3,0.828888888888889
tfidf_no_jkpw_4,0.85
tfidf_no_jkpws_1,0.46666666666666634
tfidf_no_jkpws_2,0.5777777777777776
tfidf_no_jkpws_3,0.5488888888888888
tfidf_no_jkpws_4,0.5933333333333333
tfidf_no_d_1,0.7699999999999995
tfidf_no_d_2,0.774444444444444
tfidf_no_d_3,0.7577777777777773
tfidf_no_d_4,0.7411111111111108
tfidf_no_ds_1,0.6433333333333332
tfidf_no_ds_2,0.6477777777777778
tfidf_no_ds_3,0.6366666666666667
tfidf_no_ds_4,0.6055555555555555
tfidf_no_dw_1,0.7200000000000003
tfidf_no_dw_2,0.7577777777777773
tfidf_no_dw_3,0.7644444444444443
tfidf_no_dw_4,0.7844444444444443
tfidf_no_dws_1,0.447777777777778
tfidf_no_dws_2,0.5388888888888886
tfidf_no_dws_3,0.5388888888888889
tfidf_no_dws_4,0.54
tfidf_no_dp_1,0.7733333333333328
tfidf_no_dp_2,0.7677777777777772
tfidf_no_dp_3,0.7533333333333329
tfidf_no_dp_4,0.7377777777777775
tfidf_no_dps_1,0.642222222222222
tfidf_no_dps_2,0.64
tfidf_no_dps_3,0.6133333333333335
tfidf_no_dps_4,0.6022222222222222
tfidf_no_dpw_1,0.7655555555555554
tfidf_no_dpw_2,0.8266666666666668
tfidf_no_dpw_3,0.8077777777777779
tfidf_no_dpw_4,0.7911111111111107
tfidf_no_dpws_1,0.47111111111111126
tfidf_no_dpws_2,0.5966666666666663
tfidf_no_dpws_3,0.561111111111111
tfidf_no_dpws_4,0.5711111111111108
tfidf_no_dk_1,0.7688888888888882
tfidf_no_dk_2,0.7644444444444438
tfidf_no_dk_3,0.7588888888888885
tfidf_no_dk_4,0.743333333333333
tfidf_no_dks_1,0.6444444444444442
tfidf_no_dks_2,0.6399999999999999
tfidf_no_dks_3,0.6366666666666666
tfidf_no_dks_4,0.6022222222222223
tfidf_no_dkw_1,0.6855555555555555
tfidf_no_dkw_2,0.7011111111111114
tfidf_no_dkw_3,0.7588888888888892
tfidf_no_dkw_4,0.8066666666666661
tfidf_no_dkws_1,0.3588888888888891
tfidf_no_dkws_2,0.3866666666666669
tfidf_no_dkws_3,0.4755555555555555
