>>>1<<<,>>>2<<<,>>>3<<<,>>>4<<<,>>>5<<<,>>>6<<<,>>>7<<<,>>>8<<<,>>>9<<<,>>>10<<<
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,5
5,5,5,5,5,5,5,5,5,1
3,1,1,1,1,1,1,1,1,13
13,13,13,13,13,13,13,13,13,2
2,2,2,2,2,2,2,2,2,1
1,1,1,1,1,1,1,1,1,2
2,2,2,2,2,2,2,2,2,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,8
8,8,8,8,8,8,8,8,8,2
3,3,2,2,2,2,5,2,2,80
9,14,14,14,20,27,44,53,64,5
5,5,5,5,5,5,5,5,5,93
5,8,8,8,12,19,27,34,61,1
1,1,1,1,1,1,1,1,1,6
29,7,6,6,6,6,6,6,6,1
1,1,1,1,1,1,1,1,1,4
7,5,4,4,3,3,3,4,4,5
5,5,5,5,5,5,5,5,5,18
18,18,18,18,18,18,18,18,18,8
1,1,1,1,2,3,4,7,7,1
1,1,1,1,1,1,1,1,1,3
3,3,3,3,3,3,3,3,3,52
1,6,8,8,8,9,10,21,38,4
6,6,4,4,4,4,4,4,4,24
24,24,24,24,24,24,24,24,24,7
7,7,7,7,7,7,7,7,7,1
5,2,1,1,1,1,1,1,1,21
21,21,21,21,21,21,21,21,21,8
1,1,1,1,1,2,4,6,8,9
9,9,9,9,9,9,9,9,9,2
3,2,2,2,2,2,2,2,2,3
11,11,5,3,3,3,3,3,3,4
4,4,4,4,4,4,4,4,4,7
11,10,9,9,9,8,8,6,6,1
1,1,1,1,1,1,1,1,1,1
2,1,1,1,1,1,1,1,1,1
2,2,2,2,2,2,2,2,2,2
4,4,2,2,2,2,2,2,2,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,11,1,1,1,1,8
8,8,8,8,8,8,8,8,8,5
8,11,9,10,7,7,7,5,5,32
36,34,34,33,33,33,33,33,33,11
11,11,11,11,11,11,11,11,11,3
