5.2.1,0:03.46,1:48.48
5.2.2,0:05.24,1:47.04
5.3.0,0:04.14,1:50.30
5.3.1,0:05.21,1:50.79
5.3.2,0:05.46,1:49.20
5.3.3,0:04.59,1:47.55
5.4.0,0:05.16,1:49.19
5.4.1,0:04.36,1:48.24
5.4.2,0:04.01,1:52.96
5.4.3,0:05.31,1:51.86
5.5.0,0:04.42,1:50.43
5.5.1,0:04.02,1:53.26
5.5.2,0:05.29,1:45.92
5.5.3,0:04.20,1:52.52
5.6.0,0:03.72,1:55.30
5.6.1,0:05.84,1:54.11
5.6.2,0:05.90,1:53.05
5.6.3,0:05.69,1:50.93
5.6.4,0:04.71,1:52.03
5.6.5,0:05.20,1:52.36
5.6.6,0:04.98,1:52.35
5.6.7,0:04.34,1:52.74
5.6.8,0:05.28,1:47.00
5.6.9,0:04.68,1:52.94
6.0.0-alpha1,0:03.97,1:46.95
6.0.0-alpha2,0:05.58,1:47.19
6.0.0-beta1,0:04.32,1:51.38
6.0.0-beta2,0:03.65,1:51.52
6.0.0-rc1,0:05.03,1:51.74
6.0.0-rc2,0:04.38,1:50.86
6.0.0,0:03.47,1:51.57
6.0.1,0:04.13,1:49.96
6.1.0,0:03.43,1:51.88
6.1.1,0:05.50,1:54.76
6.1.2,0:06.06,1:53.10
6.1.3,0:04.92,1:54.45
6.1.4,0:04.79,1:56.10
6.2.0,0:05.70,1:57.30
6.2.1,0:05.61,1:53.20
6.2.2,0:04.15,1:01.66
6.2.3,0:03.94,1:01.67
6.2.4,0:03.86,1:01.71
