RxJava-0.11.2,123,Java,3570,6776,14182,
RxJava-0.11.3,123,Java,3570,6776,14182,
RxJava-0.12.0,127,Java,3645,7271,14691,
RxJava-0.12.1,128,Java,3677,7260,14798,
RxJava-0.12.2,128,Java,3682,7260,14839,
RxJava-0.13.0,145,Java,4111,8849,16648,
RxJava-0.13.1,152,Java,4238,8937,17185,
RxJava-0.13.2,152,Java,4303,9036,17553,
RxJava-0.13.4,155,Java,4381,9267,17819,
RxJava-0.14.0,165,Java,4564,9592,18612,
RxJava-0.14.1,165,Java,4564,9596,18609,
RxJava-0.14.10,264,Java,5349,12222,22501,
RxJava-0.14.11,265,Java,5407,12274,22703,
RxJava-0.14.2,167,Java,4642,9713,18958,
RxJava-0.14.3,172,Java,4762,9909,19580,
RxJava-0.14.4,172,Java,4799,9922,19716,
RxJava-0.14.5,172,Java,4799,9922,19716,
RxJava-0.14.6,176,Java,4864,10006,20192,
RxJava-0.14.7,180,Java,4957,10100,20757,
RxJava-0.14.8,255,Java,5081,11797,21299,
RxJava-0.14.9,258,Java,5155,11899,21550,
RxJava-0.15.0,266,Java,5477,12503,22903,
RxJava-0.15.1,292,Java,5874,13766,25220,
RxJava-0.16.0,353,Java,8225,18454,36178,
RxJava-0.16.1,359,Java,8791,18901,38754,
RxJava-0.17.0,451,Java,11139,22094,46225,
RxJava-0.17.0-RC1,398,Java,10267,20317,42421,
RxJava-0.17.0-RC2,438,Java,10687,21404,44108,
RxJava-0.17.0-RC3,440,Java,10741,21495,44290,
RxJava-0.17.0-RC4,440,Java,10767,21516,44378,
RxJava-0.17.0-RC5,440,Java,10792,21534,44553,
RxJava-0.17.0-RC6,440,Java,10796,21537,44571,
RxJava-0.17.0-RC7,450,Java,11134,22052,46204,
RxJava-0.17.1,466,Java,11667,22647,48622,
RxJava-0.17.2,469,Java,11861,22841,49221,
RxJava-0.17.3,471,Java,11943,22922,49495,
RxJava-0.17.4,479,Java,12152,23408,50546,
RxJava-0.17.5,479,Java,12172,23267,50654,
RxJava-0.17.6,482,Java,12242,23394,50997,
RxJava-0.18.0,446,Java,11434,21350,47539,
RxJava-0.18.1,450,Java,11536,21075,48066,
RxJava-0.18.2,462,Java,11360,20371,47933,
RxJava-0.18.3,462,Java,11272,20542,47612,
RxJava-0.18.4,464,Java,11328,20582,47860,
RxJava-0.19.0,485,Java,11669,22314,49886,
RxJava-0.19.1,507,Java,12001,23218,52442,
RxJava-0.19.2,494,Java,11779,22656,51778,
RxJava-0.19.4,514,Java,12220,23265,53754,
RxJava-0.19.6,514,Java,12220,23265,53754,
RxJava-0.20.0,539,Java,13306,26383,58746,
RxJava-0.20.0-RC1,532,Java,12975,23951,57224,
RxJava-0.20.0-RC2,530,Java,12815,23896,56692,
RxJava-0.20.0-RC3,527,Java,12853,25444,56972,
RxJava-0.20.0-RC4,531,Java,13028,25575,57662,
RxJava-0.20.0-RC5,533,Java,13122,25873,58084,
RxJava-0.20.0-RC6,535,Java,13236,26191,58474,
RxJava-0.20.1,539,Java,13336,26421,58880,
RxJava-0.20.2,540,Java,13357,26444,58962,
RxJava-0.20.3,540,Java,13401,26455,59104,
RxJava-0.20.4,540,Java,13423,26461,59268,
